pass,dir,pulse_us,cx,cy,area,valid,deg
1,1,1250,85.6274,365.675,1699,1,-22.7659
1,1,1260,106.905,365.738,1688.5,1,-21.9768
1,1,1270,128.501,365.852,1657,1,-21.1667
1,1,1280,142.403,365.901,1659,1,-20.6405
1,1,1290,187.575,365.742,1609.5,1,-18.9056
1,1,1300,199.877,365.809,1599,1,-18.4267
1,1,1310,232.88,366.041,1556.5,1,-17.1288
1,1,1320,253.746,365.814,1515,1,-16.2986
1,1,1330,274.993,365.677,1521.5,1,-15.4461
1,1,1340,298.259,365.728,1491.5,1,-14.5044
1,1,1350,323.176,365.992,1460.5,1,-13.4869
1,1,1360,337.688,366.126,1446,1,-12.8902
1,1,1370,361.67,366.128,1428.5,1,-11.898
1,1,1380,398.058,365.855,1407.5,1,-10.3787
1,1,1390,411.776,365.831,1393.5,1,-9.802
1,1,1400,434.739,365.982,1376.5,1,-8.83218
1,1,1410,462.979,365.725,1368.5,1,-7.63247
1,1,1420,485.456,365.743,1357,1,-6.6727
1,1,1430,498.596,365.808,1351.5,1,-6.10988
1,1,1440,531.709,365.563,1339.5,1,-4.68641
1,1,1450,558.667,365.277,1325.5,1,-3.52323
1,1,1460,577.24,365.115,1320,1,-2.72006
1,1,1470,590.353,365.09,1320.5,1,-2.15234
1,1,1480,623.763,364.977,1307,1,-0.704224
1,1,1490,651.918,364.428,1253.5,1,0.516919
1,1,1500,657.754,364.241,1267.5,1,0.770001
1,1,1510,689.067,359.674,869.5,1,2.12721
1,1,1520,719.285,362.428,1145,1,3.43471
1,1,1530,731.171,363.766,1253,1,3.94811
1,1,1540,757.994,363.976,1325.5,1,5.1042
1,1,1550,784.98,363.625,1351.5,1,6.26314
1,1,1560,795.78,363.812,1346,1,6.7256
1,1,1570,828.38,363.47,1356,1,8.11589
1,1,1580,847.869,362.883,1391.5,1,8.94258
1,1,1590,876.071,362.516,1399.5,1,10.1321
1,1,1600,882.035,362.478,1414,1,10.3826
1,1,1610,914.953,362.314,1437,1,11.7577
1,1,1620,939.075,361.957,1440.5,1,12.7567
1,1,1630,970.429,361.547,1503,1,14.0435
1,1,1640,977.359,361.42,1495.5,1,14.3261
1,1,1650,1018.47,361.039,1528.5,1,15.987
1,1,1660,1033.95,360.653,1544.5,1,16.6057
1,1,1670,1068.33,360.192,1598.5,1,17.965
1,1,1680,1091.51,359.749,1619.5,1,18.8703
1,1,1690,1113.55,356.036,1638.5,1,19.7216
1,1,1700,1139.1,355.727,1670.5,1,20.6977
1,1,1710,1158.73,355.42,1683.5,1,21.439
1,1,1720,1190.72,354.705,1728.5,1,22.6311
