pass,dir,pulse_us,cx,cy,area,valid,deg
1,1,1475,611.923,359.609,1294.5,1,-1.21759
1,1,1476,612.181,359.711,1306.5,1,-1.20642
1,1,1477,610.831,359.645,1299,1,-1.26495
1,1,1478,610.34,359.711,1304,1,-1.28621
1,1,1479,611.617,359.614,1300,1,-1.23088
1,1,1480,627.499,359.576,1302.5,1,-0.542205
1,1,1481,625.907,359.565,1307,1,-0.611238
1,1,1482,640.031,359.467,1303.5,1,0.00134916
1,1,1483,641.543,359.436,1288.5,1,0.0669422
1,1,1484,642.397,359.443,1296.5,1,0.10395
1,1,1485,640.926,359.534,1301.5,1,0.040146
1,1,1486,640.155,359.496,1298.5,1,0.00672855
1,1,1487,641.694,359.335,1289.5,1,0.073474
1,1,1488,651.116,359.37,1278,1,0.482132
1,1,1489,649.982,359.441,1282,1,0.432945
1,1,1490,649.468,359.338,1295,1,0.410632
1,1,1491,650.664,359.336,1282,1,0.46253
1,1,1492,651.338,359.386,1281,1,0.491752
1,1,1493,650.016,359.315,1290.5,1,0.434426
1,1,1494,650.141,359.168,1287.5,1,0.439827
1,1,1495,650.825,359.339,1292.5,1,0.469499
1,1,1496,651.808,359.221,1269.5,1,0.512144
1,1,1497,655.793,359.171,1269.5,1,0.684977
1,1,1498,654.69,359.125,1282.5,1,0.637143
1,1,1499,655.339,359.237,1270,1,0.665251
1,1,1500,656.7,359.076,1271.5,1,0.724284
1,1,1501,656.185,359.003,1258.5,1,0.701952
1,1,1502,655.297,358.928,1268.5,1,0.663451
1,1,1503,659.813,358.828,1248.5,1,0.859304
1,1,1504,660.787,358.969,1251,1,0.901509
1,1,1505,660.738,358.946,1234.5,1,0.899406
1,1,1506,659.967,358.948,1246,1,0.865984
1,1,1507,684.65,356.273,1045,1,1.93589
1,1,1508,685.701,356.167,1026.5,1,1.98141
1,1,1509,685.498,356.327,1031.5,1,1.97263
1,1,1510,688.996,355.598,966,1,2.12414
1,1,1511,688.969,355.514,942,1,2.12298
1,1,1512,689.333,355.37,950,1,2.13874
1,1,1513,689.075,355.63,969.5,1,2.12754
1,1,1514,688.919,355.74,962.5,1,2.1208
1,1,1515,689.061,355.77,972.5,1,2.12697
1,1,1516,689.66,355.733,956.5,1,2.15289
1,1,1517,689.745,355.621,965.5,1,2.15656
1,1,1518,716.793,357.465,1164.5,1,3.32702
1,1,1519,716.576,357.343,1148,1,3.31762
1,1,1520,717.662,357.456,1163.5,1,3.36454
1,1,1521,718.8,357.482,1158.5,1,3.41373
1,1,1522,722.56,357.865,1214,1,3.57623
1,1,1523,722.239,357.881,1211,1,3.56234
1,1,1524,723.12,358.067,1219,1,3.60043
1,1,1525,723.822,357.969,1220,1,3.63074
1,-1,1525,740.521,358.211,1306.5,1,4.35153
1,-1,1524,741.765,358.325,1321,1,4.40516
1,-1,1523,741.604,358.241,1316.5,1,4.39822
1,-1,1522,733.549,358.017,1284.5,1,4.05072
1,-1,1521,733.459,358.18,1277.5,1,4.04687
1,-1,1520,734.248,358.242,1284.5,1,4.08089
1,-1,1519,734.26,358.24,1289.5,1,4.08142
1,-1,1518,732.862,358.196,1259,1,4.02107
1,-1,1517,732.628,358.137,1278.5,1,4.011
1,-1,1516,732.892,358.379,1268,1,4.0224
1,-1,1515,733.249,358.163,1257.5,1,4.0378
1,-1,1514,718.699,356.928,1164.5,1,3.4094
1,-1,1513,718.256,356.923,1168.5,1,3.39026
1,-1,1512,718.156,356.93,1169.5,1,3.38591
1,-1,1511,718.56,357.015,1183.5,1,3.40339
1,-1,1510,718.691,356.906,1173.5,1,3.40904
1,-1,1509,717.828,356.963,1171.5,1,3.37174
1,-1,1508,718.13,357.043,1166.5,1,3.38477
1,-1,1507,718.759,357.125,1181,1,3.41198
1,-1,1506,707.186,355.909,1090,1,2.91156
1,-1,1505,705.888,355.545,1068.5,1,2.85542
1,-1,1504,706.14,355.543,1074,1,2.86632
1,-1,1503,707.054,355.672,1070,1,2.90585
1,-1,1502,700.925,355.426,1059.5,1,2.64065
1,-1,1501,700.196,355.449,1066.5,1,2.60909
1,-1,1500,699.507,355.311,1046.5,1,2.57923
1,-1,1499,700.622,355.411,1036,1,2.62753
1,-1,1498,690.747,355.021,951.5,1,2.19997
1,-1,1497,690.04,355.033,947.5,1,2.16936
1,-1,1496,689.427,355.059,967.5,1,2.14279
1,-1,1495,689.227,355.254,970,1,2.13412
1,-1,1494,676.311,357.263,1147,1,1.57453
1,-1,1493,676.537,357.128,1148,1,1.5843
1,-1,1492,675.508,357.265,1159.5,1,1.5397
1,-1,1491,675.102,357.347,1145.5,1,1.5221
1,-1,1490,662.863,358.631,1232,1,0.99156
1,-1,1489,663.526,358.42,1241,1,1.0203
1,-1,1488,663.04,358.383,1225.5,1,0.999192
1,-1,1487,662.18,358.459,1246,1,0.961914
1,-1,1486,662.362,358.615,1234.5,1,0.969834
1,-1,1485,656.495,358.506,1268.5,1,0.715382
1,-1,1484,657.007,358.574,1270,1,0.737594
1,-1,1483,656.248,358.629,1272,1,0.704699
1,-1,1482,655.823,358.713,1269.5,1,0.686269
1,-1,1481,647.424,358.889,1285.5,1,0.32198
1,-1,1480,647.961,358.658,1287.5,1,0.345268
1,-1,1479,647.495,358.787,1282.5,1,0.325077
1,-1,1478,647.095,359.01,1280.5,1,0.307738
1,-1,1477,647.463,358.956,1288.5,1,0.323682
1,-1,1476,643.645,358.973,1292.5,1,0.158106
1,-1,1475,642.892,359.044,1282,1,0.12545
2,1,1475,608.271,359.38,1308.5,1,-1.3759
2,1,1476,607.867,359.288,1295.5,1,-1.39344
2,1,1477,606.129,359.268,1302,1,-1.46877
2,1,1478,605.631,359.41,1310.5,1,-1.49036
2,1,1479,607.746,359.261,1317.5,1,-1.3987
2,1,1480,608.295,359.128,1307.5,1,-1.37489
2,1,1481,640.021,359.348,1295,1,0.000901865
2,1,1482,639.419,359.36,1306,1,-0.0251961
2,1,1483,641.377,359.201,1296,1,0.0597114
2,1,1484,642.388,359.208,1282,1,0.103591
2,1,1485,639.808,359.286,1291,1,-0.00834373
2,1,1486,638.838,359.421,1305,1,-0.0503867
2,1,1487,646.695,359.105,1289.5,1,0.29036
2,1,1488,647.821,359.095,1282.5,1,0.339234
2,1,1489,645.824,359.116,1287,1,0.25262
2,1,1490,643.939,359.355,1301.5,1,0.170837
2,1,1491,650.512,359.138,1291.5,1,0.455928
2,1,1492,654.046,359.01,1265,1,0.609208
2,1,1493,655.875,358.772,1259,1,0.68853
2,1,1494,653.623,359.063,1261,1,0.590835
2,1,1495,653.825,358.88,1269.5,1,0.599611
2,1,1496,655.991,358.888,1264,1,0.693545
2,1,1497,656.101,358.736,1264,1,0.698298
2,1,1498,655.034,358.99,1255,1,0.65203
2,1,1499,654.569,358.949,1265,1,0.631865
2,1,1500,655.053,358.852,1270.5,1,0.652882
2,1,1501,655.65,358.813,1278,1,0.678772
2,1,1502,655.48,358.898,1264,1,0.671396
2,1,1503,679.015,357.112,1114.5,1,1.6917
2,1,1504,678.716,357.112,1113.5,1,1.67874
2,1,1505,679.923,357.02,1121.5,1,1.73106
2,1,1506,680.635,356.968,1095.5,1,1.76192
2,1,1507,679.986,357.129,1103.5,1,1.73377
2,1,1508,679.196,357.084,1118,1,1.69954
2,1,1509,688.473,355.677,992,1,2.10148
2,1,1510,688.448,355.588,964.5,1,2.10041
2,1,1511,688.305,355.662,986.5,1,2.0942
2,1,1512,687.794,355.876,994,1,2.07209
2,1,1513,688.077,355.661,995.5,1,2.08435
2,1,1514,688.636,355.603,961.5,1,2.10856
2,1,1515,688.43,355.868,996.5,1,2.09962
2,1,1516,711.068,356.763,1148.5,1,3.07946
2,1,1517,711.159,356.63,1156.5,1,3.08342
2,1,1518,712.587,356.868,1164.5,1,3.14514
2,1,1519,716.559,357.042,1151,1,3.31687
2,1,1520,715.53,356.696,1122.5,1,3.27239
2,1,1521,715.599,356.609,1129.5,1,3.27537
2,1,1522,717.18,356.831,1155.5,1,3.34373
2,1,1523,717.458,357.049,1148,1,3.35574
2,1,1524,715.869,356.956,1147.5,1,3.28705
2,1,1525,725.725,358.071,1223,1,3.71295
2,-1,1525,736.355,358.227,1290.5,1,4.17184
2,-1,1524,735.016,357.992,1278,1,4.11407
2,-1,1523,735.763,358.208,1288,1,4.14628
2,-1,1522,737.706,358.204,1280,1,4.23009
2,-1,1521,736.866,358.17,1287,1,4.19388
2,-1,1520,735.203,358.156,1279.5,1,4.12214
2,-1,1519,735.929,358.225,1286,1,4.15343
2,-1,1518,727.327,357.802,1225,1,3.78214
2,-1,1517,726.442,357.843,1224,1,3.74391
2,-1,1516,724.956,357.63,1218.5,1,3.67975
2,-1,1515,725.497,357.635,1241,1,3.70311
2,-1,1514,718.95,356.902,1148,1,3.42023
2,-1,1513,718.714,356.935,1158.5,1,3.41003
2,-1,1512,716.935,356.789,1176,1,3.33313
2,-1,1511,716.989,356.538,1140.5,1,3.33549
2,-1,1510,718.149,356.88,1148,1,3.38561
2,-1,1509,719.053,356.893,1164,1,3.42466
2,-1,1508,718.293,356.636,1148,1,3.39182
2,-1,1507,716.959,356.745,1153.5,1,3.33416
2,-1,1506,706.876,355.906,1091,1,2.89816
2,-1,1505,707.986,355.982,1099,1,2.94614
2,-1,1504,707.604,355.894,1088,1,2.92962
2,-1,1503,706.383,355.507,1084,1,2.87683
2,-1,1502,702.144,355.076,1037.5,1,2.69341
2,-1,1501,703.19,354.88,1037,1,2.73867
2,-1,1500,696.687,354.505,960,1,2.45719
2,-1,1499,695.78,354.874,984,1,2.41792
2,-1,1498,695.707,354.497,959,1,2.41474
2,-1,1497,697.385,354.868,1010,1,2.4874
2,-1,1496,677.515,357.191,1157,1,1.62671
2,-1,1495,676.6,357.209,1167.5,1,1.58704
2,-1,1494,676.101,357.22,1174,1,1.56541
2,-1,1493,677.338,357.356,1150,1,1.61901
2,-1,1492,677.459,357.094,1153,1,1.62429
2,-1,1491,676.224,357.23,1168.5,1,1.57076
2,-1,1490,676.223,357.296,1182,1,1.57073
2,-1,1489,677.359,357.143,1149,1,1.61995
2,-1,1488,661.202,358.428,1249.5,1,0.919508
2,-1,1487,660.229,358.403,1257.5,1,0.877342
2,-1,1486,660.329,358.387,1259,1,0.881648
2,-1,1485,661.143,358.363,1253,1,0.916951
2,-1,1484,653.353,358.668,1291,1,0.579124
2,-1,1483,652.587,358.739,1261.5,1,0.545914
2,-1,1482,651.449,358.681,1280,1,0.496575
2,-1,1481,652.226,358.671,1264.5,1,0.530244
2,-1,1480,649.852,358.812,1290,1,0.427284
2,-1,1479,648.845,358.699,1285.5,1,0.383629
2,-1,1478,646.204,358.659,1290,1,0.269097
2,-1,1477,646.35,358.758,1289,1,0.275417
2,-1,1476,643.706,358.788,1294,1,0.160732
2,-1,1475,643.93,358.849,1288,1,0.170467
3,1,1475,609.011,359.282,1290,1,-1.34382
3,1,1476,610.299,359.304,1299.5,1,-1.28799
3,1,1477,609.072,359.276,1303,1,-1.34121
3,1,1478,607.957,359.403,1307,1,-1.38954
3,1,1479,630.533,359.258,1295.5,1,-0.410621
3,1,1480,632.377,359.357,1289.5,1,-0.330623
3,1,1481,631.734,359.328,1285.5,1,-0.358528
3,1,1482,629.406,359.306,1295,1,-0.459469
3,1,1483,635.746,359.147,1289,1,-0.184511
3,1,1484,638.289,359.098,1298.5,1,-0.0742093
3,1,1485,639.125,359.147,1298.5,1,-0.0379507
3,1,1486,636.738,359.263,1290.5,1,-0.141472
3,1,1487,648.159,359.022,1290,1,0.353885
3,1,1488,650.17,359.181,1297,1,0.441103
3,1,1489,651.441,358.991,1271,1,0.496202
3,1,1490,650.852,358.883,1273.5,1,0.470688
3,1,1491,649.576,358.949,1271.5,1,0.415314
3,1,1492,651.22,359.007,1273.5,1,0.486645
3,1,1493,652.514,358.876,1260,1,0.542738
3,1,1494,651.271,358.803,1272.5,1,0.488856
3,1,1495,649.88,358.923,1283.5,1,0.428505
3,1,1496,652.079,359.004,1268.5,1,0.523873
3,1,1497,654.062,358.753,1265,1,0.609869
3,1,1498,653.923,358.797,1270.5,1,0.603849
3,1,1499,651.789,358.837,1265.5,1,0.511307
3,1,1500,651.43,358.896,1272.5,1,0.495759
3,1,1501,658.796,358.746,1249,1,0.815198
3,1,1502,658.794,358.656,1260.5,1,0.815081
3,1,1503,657.107,358.795,1261,1,0.741954
3,1,1504,656.612,358.728,1259.5,1,0.720489
3,1,1505,669.469,358.114,1198.5,1,1.27793
3,1,1506,670.278,358.068,1197.5,1,1.31303
3,1,1507,668.73,358.199,1199,1,1.2459
3,1,1508,668.071,358.426,1198,1,1.21735
3,1,1509,683.427,356.477,1071,1,1.8829
3,1,1510,684.118,356.168,1053,1,1.9128
3,1,1511,683.365,356.521,1057.5,1,1.88022
3,1,1512,699.24,355.575,1018.5,1,2.56771
3,1,1513,700.008,355.604,1023.5,1,2.60095
3,1,1514,700.357,355.115,1004.5,1,2.61606
3,1,1515,699.363,355.4,1005,1,2.57302
3,1,1516,710.69,356.425,1112,1,3.06313
3,1,1517,712.269,356.771,1131,1,3.13141
3,1,1518,712.195,356.472,1128.5,1,3.12818
3,1,1519,717.236,357.02,1182.5,1,3.34615
3,1,1520,716.965,356.713,1150,1,3.33443
3,1,1521,719.16,357.072,1159.5,1,3.42932
3,1,1522,719.855,357.235,1177,1,3.45935
3,1,1523,718.337,357.036,1169,1,3.39374
3,1,1524,722.17,357.475,1193,1,3.55939
3,1,1525,723.252,357.631,1203,1,3.60614
3,-1,1525,737.036,357.904,1284.5,1,4.20122
3,-1,1524,737,357.888,1277.5,1,4.19965
3,-1,1523,737.534,358.096,1282,1,4.2227
3,-1,1522,737.502,357.987,1276.5,1,4.2213
3,-1,1521,737.46,357.834,1289,1,4.21948
3,-1,1520,737.3,358.045,1290.5,1,4.21257
3,-1,1519,737.489,358.033,1278,1,4.22074
3,-1,1518,727.076,357.747,1224,1,3.7713
3,-1,1517,726.882,357.739,1224,1,3.76291
3,-1,1516,726.809,357.744,1222,1,3.75977
3,-1,1515,727.052,357.824,1223,1,3.77027
3,-1,1514,718.305,356.511,1133.5,1,3.39233
3,-1,1513,717.765,356.517,1147,1,3.36903
3,-1,1512,717.609,356.445,1133.5,1,3.36225
3,-1,1511,717.739,356.559,1126,1,3.36789
3,-1,1510,717.96,356.668,1126,1,3.37744
3,-1,1509,717.654,356.714,1114,1,3.36422
3,-1,1508,717.775,356.394,1136,1,3.36946
3,-1,1507,718.123,356.583,1118,1,3.38447
